[Sun Nov 26 11:30:45.235838 2017] [:error] [pid 4270] [client 123.49.46.144:42241] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:53.088336 2017] [:error] [pid 4891] [client 123.49.46.144:42350] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:53.088410 2017] [:error] [pid 4891] [client 123.49.46.144:42350] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:53.088428 2017] [:error] [pid 4891] [client 123.49.46.144:42350] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:53.366536 2017] [:error] [pid 4891] [client 123.49.46.144:42350] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:53.366690 2017] [:error] [pid 4891] [client 123.49.46.144:42350] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:53.366709 2017] [:error] [pid 4891] [client 123.49.46.144:42350] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:53.641567 2017] [:error] [pid 4891] [client 123.49.46.144:42350] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:53.641666 2017] [:error] [pid 4891] [client 123.49.46.144:42350] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:30:53.641690 2017] [:error] [pid 4891] [client 123.49.46.144:42350] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3
[Sun Nov 26 11:31:33.241595 2017] [:error] [pid 3539] [client 123.49.46.144:42667] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:31:33.241680 2017] [:error] [pid 3539] [client 123.49.46.144:42667] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:31:33.241708 2017] [:error] [pid 3539] [client 123.49.46.144:42667] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:36:45.949535 2017] [:error] [pid 3539] [client 123.49.46.144:45139] PHP Notice:  Undefined index: language in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:36:45.949670 2017] [:error] [pid 3539] [client 123.49.46.144:45139] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:36:45.949691 2017] [:error] [pid 3539] [client 123.49.46.144:45139] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:36:46.224997 2017] [:error] [pid 3539] [client 123.49.46.144:45139] PHP Notice:  Undefined index: data in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:36:46.225065 2017] [:error] [pid 3539] [client 123.49.46.144:45139] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:36:46.225079 2017] [:error] [pid 3539] [client 123.49.46.144:45139] PHP Warning:  include(): Failed opening 'lang/.php' for inclusion (include_path='.:/usr/share/pear:/usr/share/php') in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/customer
[Sun Nov 26 11:36:48.662740 2017] [:error] [pid 3539] [client 123.49.46.144:45139] PHP Notice:  Undefined index: data in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
[Sun Nov 26 11:36:48.662861 2017] [:error] [pid 3539] [client 123.49.46.144:45139] PHP Warning:  include(lang/.php): failed to open stream: No such file or directory in /var/www/tawhid/system/Controller.php on line 3, referer: http://50.116.58.130:443/
